"filename", "language", "TypeScript JSX", "Makefile", "TypeScript", "CSS", "JavaScript", "JSON with Comments", "Markdown", "JSON", "XML", "comment", "blank", "total"
"/Users/kuben/projects/surge/surgelight/src/app/api/webhook/ayrshare/route.ts", "TypeScript", 0, 0, 124, 0, 0, 0, 0, 0, 0, 4, 29, 157
"/Users/kuben/projects/surge/surgelight/src/app/api/webhook/clerk/route.ts", "TypeScript", 0, 0, 60, 0, 0, 0, 0, 0, 0, 1, 9, 70
"/Users/kuben/projects/surge/surgelight/src/app/api/webhook/make/route.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 0, 8, 10, 65
"/Users/kuben/projects/surge/surgelight/src/app/api/webhook/stripe/route.ts", "TypeScript", 0, 0, 132, 0, 0, 0, 0, 0, 0, 27, 31, 190
"/Users/kuben/projects/surge/surgelight/src/app/layout.tsx", "TypeScript JSX", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"/Users/kuben/projects/surge/surgelight/src/app/page.tsx", "TypeScript JSX", 149, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 159
"/Users/kuben/projects/surge/surgelight/src/app/providers.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"/Users/kuben/projects/surge/surgelight/src/components/analytics/AnalyticsHeader.tsx", "TypeScript JSX", 131, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 143
"/Users/kuben/projects/surge/surgelight/src/components/analytics/CommentsSection.tsx", "TypeScript JSX", 301, 0, 0, 0, 0, 0, 0, 0, 0, 15, 24, 340
"/Users/kuben/projects/surge/surgelight/src/components/analytics/EditVisibleVideosModal.tsx", "TypeScript JSX", 409, 0, 0, 0, 0, 0, 0, 0, 0, 34, 39, 482
"/Users/kuben/projects/surge/surgelight/src/components/analytics/KpiCard.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"/Users/kuben/projects/surge/surgelight/src/components/analytics/KpiMetricsGrid.tsx", "TypeScript JSX", 85, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 88
"/Users/kuben/projects/surge/surgelight/src/components/analytics/PerformanceChartCard.tsx", "TypeScript JSX", 214, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 231
"/Users/kuben/projects/surge/surgelight/src/components/analytics/TopContentCard.tsx", "TypeScript JSX", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 100
"/Users/kuben/projects/surge/surgelight/src/components/analytics/TopContentItem.tsx", "TypeScript JSX", 60, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 72
"/Users/kuben/projects/surge/surgelight/src/components/analytics/types/growth.types.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/kuben/projects/surge/surgelight/src/components/analytics/types/index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 4
"/Users/kuben/projects/surge/surgelight/src/components/analytics/types/metrics.types.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 4, 4, 31
