"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "CSS", "JSON", "Markdown", "Makefile", "JSON with Comments", "XML", "comment", "blank", "total"
"/Users/kuben/projects/surge/surgelight/src/app/(dashboard)/social-accounts/page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/(public)/public/reports/[share_id]/page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/(public)/public/reports/page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/kuben/projects/surge/surgelight/src/app/layout.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"/Users/kuben/projects/surge/surgelight/src/app/page.tsx", "TypeScript JSX", 0, 211, 0, 0, 0, 0, 0, 0, 0, 5, 19, 235
"/Users/kuben/projects/surge/surgelight/src/app/providers.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"/Users/kuben/projects/surge/surgelight/src/components/analytics/AnalyticsHeader.tsx", "TypeScript JSX", 0, 131, 0, 0, 0, 0, 0, 0, 0, 2, 10, 143
"/Users/kuben/projects/surge/surgelight/src/components/analytics/CommentsSection.tsx", "TypeScript JSX", 0, 301, 0, 0, 0, 0, 0, 0, 0, 15, 24, 340
"/Users/kuben/projects/surge/surgelight/src/components/analytics/EditVisibleVideosModal.tsx", "TypeScript JSX", 0, 409, 0, 0, 0, 0, 0, 0, 0, 34, 39, 482
"/Users/kuben/projects/surge/surgelight/src/components/analytics/KpiCard.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"/Users/kuben/projects/surge/surgelight/src/components/analytics/KpiMetricsGrid.tsx", "TypeScript JSX", 0, 85, 0, 0, 0, 0, 0, 0, 0, 1, 2, 88
"/Users/kuben/projects/surge/surgelight/src/components/analytics/PerformanceChartCard.tsx", "TypeScript JSX", 0, 214, 0, 0, 0, 0, 0, 0, 0, 6, 11, 231
"/Users/kuben/projects/surge/surgelight/src/components/analytics/TopContentCard.tsx", "TypeScript JSX", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 11, 100
"/Users/kuben/projects/surge/surgelight/src/components/analytics/TopContentItem.tsx", "TypeScript JSX", 0, 71, 0, 0, 0, 0, 0, 0, 0, 7, 5, 83
"/Users/kuben/projects/surge/surgelight/src/components/analytics/types/growth.types.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/kuben/projects/surge/surgelight/src/components/analytics/types/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4
"/Users/kuben/projects/surge/surgelight/src/components/analytics/types/metrics.types.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 31
"/Users/kuben/projects/surge/surgelight/src/components/analytics/types/video.types.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/kuben/projects/surge/surgelight/src/components/common/theme-provider.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/kuben/projects/surge/surgelight/src/components/common/theme-switcher.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"/Users/kuben/projects/surge/surgelight/src/components/icons/InstagramIcon.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Users/kuben/projects/surge/surgelight/src/components/icons/TikTokIcon.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/kuben/projects/surge/surgelight/src/components/icons/YouTubeIcon.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/kuben/projects/surge/surgelight/src/components/icons/index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
